Year,Population_Lakhs,Per_Capita_Income_Rs,Industrial_Growth_%,Service_Sector_Growth_%,Urbanization_Rate_%,Vehicle_Registration_Lakhs,AC_Penetration_%,IT_Companies_Count
2020,47.5,185000.0,4.8,6.6,85.2,45.2,32.5,2850
2021,48.3,196100.0,6.2,7.1,85.5,48.0,34.6,2975
2022,49.1,207866.0,5.5,6.1,85.8,50.8,36.7,3100
2023,49.9,220338.0,5.7,7.4,86.1,53.6,38.8,3225
2024,50.7,233558.0,7.0,7.0,86.4,56.4,40.9,3350
2025,51.5,247572.0,5.8,6.1,86.7,59.2,43.0,3475
2026,52.3,262426.0,5.3,8.4,87.0,62.0,45.1,3600
2027,53.1,278172.0,6.0,6.2,87.3,64.8,47.2,3725
2028,53.9,294862.0,4.8,7.3,87.6,67.6,49.3,3850
2029,54.7,312554.0,6.5,8.3,87.9,70.4,51.4,3975
2030,55.5,331307.0,5.8,6.9,88.2,73.2,53.5,4100
